N,T,T_N,trial,h,signal,t_stat,n_conn,n_isol
50,500,10.0,7,75,Oracle_NIO,1.1091872531072267,39,11
50,500,10.0,7,75,LASSO_NIO,-0.6604079422557126,45,5
50,500,10.0,7,80,Oracle_NIO,0.6514977098566447,39,11
50,500,10.0,7,80,LASSO_NIO,-0.4382431004791097,45,5
50,500,10.0,7,85,Oracle_NIO,-0.09806213276047814,39,11
50,500,10.0,7,85,LASSO_NIO,0.5076510714349399,45,5
50,500,10.0,7,90,Oracle_NIO,-1.8479046445077416,39,11
50,500,10.0,7,90,LASSO_NIO,-1.3482552346844354,45,5
100,500,5.0,0,0,Oracle_NIO,-0.8976514516754242,90,10
100,500,5.0,0,5,Oracle_NIO,0.38053882683832246,90,10
100,500,5.0,0,10,Oracle_NIO,-0.6178719437961893,90,10
100,500,5.0,0,15,Oracle_NIO,1.6941817587122536,90,10
100,500,5.0,0,20,Oracle_NIO,-0.5938632010139947,90,10
100,500,5.0,0,25,Oracle_NIO,-0.953686450384563,90,10
100,500,5.0,0,30,Oracle_NIO,-0.6024429615152046,90,10
100,500,5.0,0,35,Oracle_NIO,-0.4296795907941068,90,10
100,500,5.0,0,40,Oracle_NIO,-1.6806475531084868,90,10
100,500,5.0,0,45,Oracle_NIO,-0.3306725781282233,90,10
100,500,5.0,0,50,Oracle_NIO,-0.4331131409108279,90,10
100,500,5.0,0,55,Oracle_NIO,-0.600357525443776,90,10
100,500,5.0,0,60,Oracle_NIO,0.21758379019706597,90,10
100,500,5.0,0,65,Oracle_NIO,-0.025569596486402335,90,10
100,500,5.0,0,70,Oracle_NIO,-0.7141826556834978,90,10
100,500,5.0,0,75,Oracle_NIO,0.16498265576897256,90,10
100,500,5.0,0,80,Oracle_NIO,-0.35071298840643167,90,10
100,500,5.0,0,85,Oracle_NIO,-0.9207854975858798,90,10
100,500,5.0,0,90,Oracle_NIO,-0.23795312162053017,90,10
100,500,5.0,1,0,Oracle_NIO,1.5851279691897362,81,19
100,500,5.0,1,5,Oracle_NIO,-0.8652202599123189,81,19
100,500,5.0,1,10,Oracle_NIO,-0.5388051190996517,81,19
100,500,5.0,1,15,Oracle_NIO,1.3521096443569867,81,19
100,500,5.0,1,20,Oracle_NIO,-0.2841496096017486,81,19
100,500,5.0,1,25,Oracle_NIO,-0.813089246294743,81,19
100,500,5.0,1,30,Oracle_NIO,-1.3477298043048216,81,19
100,500,5.0,1,35,Oracle_NIO,0.14745917344231363,81,19
100,500,5.0,1,40,Oracle_NIO,0.6541463878244441,81,19
100,500,5.0,1,45,Oracle_NIO,-0.8150996769448241,81,19
100,500,5.0,1,50,Oracle_NIO,-1.2098548454042217,81,19
100,500,5.0,1,55,Oracle_NIO,0.858271134625328,81,19
100,500,5.0,1,60,Oracle_NIO,-0.8164361228962258,81,19
100,500,5.0,1,65,Oracle_NIO,-1.5898415320776789,81,19
100,500,5.0,1,70,Oracle_NIO,-1.3034130601560887,81,19
100,500,5.0,1,75,Oracle_NIO,-0.5120054856086512,81,19
100,500,5.0,1,80,Oracle_NIO,-1.229510932156355,81,19
100,500,5.0,1,85,Oracle_NIO,1.9009944226947184,81,19
100,500,5.0,1,90,Oracle_NIO,0.29812936736568846,81,19
100,500,5.0,2,0,Oracle_NIO,-0.018771312327907883,94,6
100,500,5.0,2,0,LASSO_NIO,-2.202978188191896,93,7
100,500,5.0,2,5,Oracle_NIO,-0.3683033945579167,94,6
100,500,5.0,2,5,LASSO_NIO,1.7398659468369262,93,7
100,500,5.0,2,10,Oracle_NIO,-1.3235427480020197,94,6
100,500,5.0,2,10,LASSO_NIO,-0.9638882589953747,93,7
100,500,5.0,2,15,Oracle_NIO,-0.6002297544363547,94,6
100,500,5.0,2,15,LASSO_NIO,0.6904831957197826,93,7
100,500,5.0,2,20,Oracle_NIO,0.8513378871595692,94,6
100,500,5.0,2,20,LASSO_NIO,-0.42894923196262597,93,7
100,500,5.0,2,25,Oracle_NIO,-0.40358911828932703,94,6
100,500,5.0,2,25,LASSO_NIO,-1.6652578512278577,93,7
100,500,5.0,2,30,Oracle_NIO,-0.12360548520597447,94,6
100,500,5.0,2,30,LASSO_NIO,-1.4745791018780938,93,7
100,500,5.0,2,35,Oracle_NIO,0.24743150468217168,94,6
100,500,5.0,2,35,LASSO_NIO,-1.0174474862452376,93,7
100,500,5.0,2,40,Oracle_NIO,0.7736413259193468,94,6
100,500,5.0,2,40,LASSO_NIO,-0.06060474449557417,93,7
100,500,5.0,2,45,Oracle_NIO,-0.6098308522215561,94,6
100,500,5.0,2,45,LASSO_NIO,0.023712910545015595,93,7
100,500,5.0,2,50,Oracle_NIO,0.3369851466735211,94,6
100,500,5.0,2,50,LASSO_NIO,0.0856829270142064,93,7
100,500,5.0,2,55,Oracle_NIO,-0.44809369666758014,94,6
100,500,5.0,2,55,LASSO_NIO,-0.6758864360707353,93,7
100,500,5.0,2,60,Oracle_NIO,0.953085497772852,94,6
100,500,5.0,2,60,LASSO_NIO,1.1375178490122537,93,7
100,500,5.0,2,65,Oracle_NIO,-0.8425206535177567,94,6
100,500,5.0,2,65,LASSO_NIO,0.8566483271415287,93,7
100,500,5.0,2,70,Oracle_NIO,-0.01039656920037783,94,6
100,500,5.0,2,70,LASSO_NIO,-1.0551130102665855,93,7
100,500,5.0,2,75,Oracle_NIO,-0.09653534408972303,94,6
100,500,5.0,2,75,LASSO_NIO,-0.2324968836107654,93,7
100,500,5.0,2,80,Oracle_NIO,1.5526761921328411,94,6
100,500,5.0,2,80,LASSO_NIO,0.34528697843554434,93,7
100,500,5.0,2,85,Oracle_NIO,1.4109289488266914,94,6
100,500,5.0,2,85,LASSO_NIO,1.177763322729852,93,7
100,500,5.0,2,90,Oracle_NIO,-0.18832749461091383,94,6
100,500,5.0,2,90,LASSO_NIO,0.9206931619773795,93,7
100,500,5.0,3,0,Oracle_NIO,1.5121189902408334,92,8
100,500,5.0,3,5,Oracle_NIO,-0.3793620383597351,92,8
100,500,5.0,3,10,Oracle_NIO,-1.1980371822650087,92,8
100,500,5.0,3,15,Oracle_NIO,0.635030211303337,92,8
100,500,5.0,3,20,Oracle_NIO,-1.2037196936487535,92,8
100,500,5.0,3,25,Oracle_NIO,0.5752740384743716,92,8
100,500,5.0,3,30,Oracle_NIO,-0.2439802528801835,92,8
100,500,5.0,3,35,Oracle_NIO,0.4887074703434476,92,8
100,500,5.0,3,40,Oracle_NIO,1.6882668309459627,92,8
100,500,5.0,3,45,Oracle_NIO,0.6874683632742674,92,8
100,500,5.0,3,50,Oracle_NIO,0.1279908373826609,92,8
100,500,5.0,3,55,Oracle_NIO,0.29677167718856534,92,8
100,500,5.0,3,60,Oracle_NIO,0.05369809382634845,92,8
100,500,5.0,3,65,Oracle_NIO,-1.896163613347468,92,8
100,500,5.0,3,70,Oracle_NIO,-0.3212660034294407,92,8
100,500,5.0,3,75,Oracle_NIO,1.3990279999847963,92,8
100,500,5.0,3,80,Oracle_NIO,0.09240093653417134,92,8
100,500,5.0,3,85,Oracle_NIO,0.270067153397919,92,8
100,500,5.0,3,90,Oracle_NIO,0.29715395032750636,92,8
100,500,5.0,4,0,Oracle_NIO,-0.8134470714708875,88,12
