N,T,T/N,trial,method,precision,recall,f1,hub_recovery,density
20,100,5.0,3,LASSO,0.5833333333333334,0.35,0.4375,1.0,0.031578947368421054
20,100,5.0,3,KNN,0.15789473684210525,0.15,0.15384615384615385,0.2,0.05
20,100,5.0,4,OLS,,,,,
20,100,5.0,4,LASSO,0.375,0.15,0.21428571428571427,0.6,0.021052631578947368
20,100,5.0,4,KNN,0.10526315789473684,0.1,0.10256410256410256,0.2,0.05
20,100,5.0,5,OLS,,,,,
20,100,5.0,5,LASSO,0.3333333333333333,0.1,0.15384615384615385,0.2,0.015789473684210527
20,100,5.0,5,KNN,0.05263157894736842,0.05,0.05128205128205128,0.0,0.05
20,100,5.0,6,OLS,,,,,
20,100,5.0,6,LASSO,0.5,0.15,0.23076923076923078,0.2,0.015789473684210527
20,100,5.0,6,KNN,0.05263157894736842,0.05,0.05128205128205128,0.4,0.05
20,100,5.0,7,OLS,,,,,
20,100,5.0,7,LASSO,0.5,0.1,0.16666666666666666,0.2,0.010526315789473684
20,100,5.0,7,KNN,0.0,0.0,0.0,0.0,0.05
20,100,5.0,8,OLS,,,,,
20,100,5.0,8,LASSO,0.5,0.1,0.16666666666666666,0.2,0.010526315789473684
20,100,5.0,8,KNN,0.10526315789473684,0.1,0.10256410256410256,0.2,0.05
20,100,5.0,9,OLS,,,,,
20,100,5.0,9,LASSO,0.0,0.0,0.0,0.2,0.013157894736842105
20,100,5.0,9,KNN,0.10526315789473684,0.1,0.10256410256410256,0.4,0.05
20,100,5.0,10,OLS,,,,,
20,100,5.0,10,LASSO,0.375,0.15,0.21428571428571427,0.2,0.021052631578947368
20,100,5.0,10,KNN,0.15789473684210525,0.15,0.15384615384615385,0.2,0.05
20,100,5.0,11,OLS,,,,,
20,100,5.0,11,LASSO,0.42857142857142855,0.15,0.2222222222222222,0.2,0.018421052631578946
20,100,5.0,11,KNN,0.15789473684210525,0.15,0.15384615384615385,0.0,0.05
20,100,5.0,12,OLS,,,,,
20,100,5.0,12,LASSO,0.0,0.0,0.0,0.4,0.002631578947368421
20,100,5.0,12,KNN,0.05263157894736842,0.05,0.05128205128205128,0.2,0.05
20,100,5.0,13,OLS,,,,,
20,100,5.0,13,LASSO,0.14285714285714285,0.05,0.07407407407407407,0.4,0.018421052631578946
20,100,5.0,13,KNN,0.0,0.0,0.0,0.2,0.05
20,100,5.0,14,OLS,,,,,
20,100,5.0,14,LASSO,0.14285714285714285,0.05,0.07407407407407407,0.2,0.018421052631578946
20,100,5.0,14,KNN,0.0,0.0,0.0,0.2,0.05
20,100,5.0,15,OLS,,,,,
20,100,5.0,15,LASSO,0.5,0.25,0.3333333333333333,0.6,0.02631578947368421
20,100,5.0,15,KNN,0.10526315789473684,0.1,0.10256410256410256,0.6,0.05
20,100,5.0,16,OLS,,,,,
20,100,5.0,16,LASSO,0.0,0.0,0.0,0.2,0.007894736842105263
20,100,5.0,16,KNN,0.0,0.0,0.0,0.4,0.05
20,100,5.0,17,OLS,,,,,
20,100,5.0,17,LASSO,0.5555555555555556,0.25,0.3448275862068966,0.4,0.02368421052631579
20,100,5.0,17,KNN,0.0,0.0,0.0,0.4,0.05
20,100,5.0,18,OLS,,,,,
20,100,5.0,18,LASSO,0.42857142857142855,0.15,0.2222222222222222,0.2,0.018421052631578946
20,100,5.0,18,KNN,0.05263157894736842,0.05,0.05128205128205128,0.0,0.05
20,100,5.0,19,OLS,,,,,
20,100,5.0,19,LASSO,0.6,0.15,0.24,0.6,0.013157894736842105
20,100,5.0,19,KNN,0.0,0.0,0.0,0.2,0.05
20,100,5.0,20,OLS,,,,,
20,100,5.0,20,LASSO,0.3125,0.25,0.2777777777777778,0.4,0.042105263157894736
20,100,5.0,20,KNN,0.05263157894736842,0.05,0.05128205128205128,0.6,0.05
20,100,5.0,21,OLS,,,,,
20,100,5.0,21,LASSO,0.3333333333333333,0.05,0.08695652173913043,0.6,0.007894736842105263
20,100,5.0,21,KNN,0.10526315789473684,0.1,0.10256410256410256,0.4,0.05
20,100,5.0,22,OLS,,,,,
20,100,5.0,22,LASSO,0.16666666666666666,0.05,0.07692307692307693,0.4,0.015789473684210527
20,100,5.0,22,KNN,0.05263157894736842,0.05,0.05128205128205128,0.0,0.05
20,100,5.0,23,OLS,,,,,
20,100,5.0,23,LASSO,0.5454545454545454,0.3,0.3870967741935484,0.4,0.02894736842105263
20,100,5.0,23,KNN,0.05263157894736842,0.05,0.05128205128205128,0.4,0.05
20,100,5.0,24,OLS,,,,,
20,100,5.0,24,LASSO,0.5,0.1,0.16666666666666666,0.8,0.010526315789473684
20,100,5.0,24,KNN,0.0,0.0,0.0,0.0,0.05
20,100,5.0,25,OLS,,,,,
20,100,5.0,25,LASSO,0.5,0.15,0.23076923076923078,0.4,0.015789473684210527
20,100,5.0,25,KNN,0.0,0.0,0.0,0.4,0.05
20,100,5.0,26,OLS,,,,,
20,100,5.0,26,LASSO,0.3,0.15,0.2,0.4,0.02631578947368421
20,100,5.0,26,KNN,0.10526315789473684,0.1,0.10256410256410256,0.2,0.05
20,100,5.0,27,OLS,,,,,
20,100,5.0,27,LASSO,0.2857142857142857,0.1,0.14814814814814814,0.4,0.018421052631578946
20,100,5.0,27,KNN,0.05263157894736842,0.05,0.05128205128205128,0.2,0.05
20,100,5.0,28,OLS,,,,,
20,100,5.0,28,LASSO,0.4166666666666667,0.25,0.3125,0.4,0.031578947368421054
20,100,5.0,28,KNN,0.15789473684210525,0.15,0.15384615384615385,0.4,0.05
20,100,5.0,29,OLS,,,,,
20,100,5.0,29,LASSO,0.3333333333333333,0.15,0.20689655172413793,0.2,0.02368421052631579
20,100,5.0,29,KNN,0.05263157894736842,0.05,0.05128205128205128,0.2,0.05
